Санкт-Петербург;spb;59.9948658647,30.2096557617
Москва;msk;55.7495307479,37.6243972778
Диксон;dikson;73.508333,80.524444
Великий Новгород;velikiy-novgorod;58.522799,31.2680253
Анадырь;anadyr;64.727758,177.4653749
Самара;samara;53.1961604,50.1004605
Пермь;perm;58.0201782,55.9540971
Астрахань;astrakhan;46.3574175,48.0304029
Архангельск;arkhangelsk;64.535453337583,40.520324707031
Алупка;alupka;44.419724,34.043056
Алушта;alushta;44.676384,34.410049
Армянск;armyansk;46.107224,33.693333
Бахчисарай;bakhchisaray;44.752777,33.860832
Джанкой;dzhankoy;45.708611,34.393333
Евпатория;evpatoriya;45.190449,33.366867
Керчь;kerch;45.355316,36.470833
Красноперекопск;krasnoperekopsk;45.954948,33.79982
Саки;saki;45.13361,33.577221
Севастополь;sevastopol;44.50885,33.60051
Симферополь;simferopol;44.952118,34.102417
Судак;sudak;44.850468,34.976185
Феодосия;feodosiya;45.031933,35.382435
Щёлкино;shchyelkino;45.428101,35.816521
Ялта;yalta;44.497601,34.169918
Научный;nauchnyy;44.725834,34.011665
Укромное;ukromnoe;45.048058,34.000278
Нижнегорский;nizhnegorskiy;45.448811,34.73642
Гагарин;gagarin;55.550911,35.014992
Бабаево;babaevo;59.38533,35.950722
Багаевский;bagaevskiy;47.2668,40.407749
Гаврилов-ям;gavrilov-yam;57.30212,39.8568
Абакан;abakan;53.729172,91.461189
Баргузин;barguzin;53.62495,109.627777
Барнаул;barnaul;53.356339,83.76165
Гай;gay;51.467739,58.454739
Балабаново;balabanovo;55.17662,36.64925
Балаково;balakovo;52.021069,47.805759
Балахна;balakhna;56.480728,43.54039
Балашиха;balashikha;55.820381,37.96891
Балашов;balashov;51.537449,43.15287
Байконур;baykonur;45.628231,63.304562
Абинск;abinsk;44.864922,38.17186
Валуйки;valuyki;50.213268,38.10199
Галенки;galenki;44.072861,131.788712
Ванино;vanino;49.09436,140.261108
Батайск;bataysk;47.138779,39.754719
Гатчина;gatchina;59.559879,30.138559
Азов;azov;47.099049,39.438629
Взморье;vzmore;54.697315,20.245184
Братск;bratsk;56.169659,101.591637
Арзгир;arzgir;45.368793,44.218266
Арзамас;arzamas;55.40321,43.83614
Армавир;armavir;44.996361,41.120628
Грозный;groznyy;43.309841,45.670391
Бронницы;bronnitsy;55.419441,38.27673
Арсеньев;arsenev;44.161789,133.285507
Артем;artem;43.355728,132.186676
Артемовский;artemovskiy;57.338169,61.903481
Гремячинск;gremyachinsk;58.566589,57.841808
Грязовец;gryazovets;58.88229,40.247372
Брянск;bryansk;53.310661,34.300369
Благовещенск;blagoveshchensk;50.27494,127.534142
Благодарный;blagodarnyy;45.10006,43.42812
Глазов;glazov;58.135288,52.662441
Алапаевск;alapaevsk;57.854118,61.70573
Алатырь;alatyr;54.845501,46.567631
Владивосток;vladivostok;43.130692,131.923828
Владикавказ;vladikavkaz;43.031231,44.67577
Владимир;vladimir;56.127701,40.407558
Биробиджан;birobidzhan;48.800671,132.899139
Бирск;birsk;55.417511,55.5452
Бийск;biysk;52.541302,85.217003
Вилючинск;vilyuchinsk;52.939831,158.409012
Аксай;aksay;47.266918,39.869141
Вихоревка;vikhorevka;56.110722,101.18026
Альметьевск;almetevsk;54.893219,52.34623
Александров;aleksandrov;56.396759,38.72419
Александровск;aleksandrovsk;59.159248,57.604019
Александровск-Сахалинский;aleksandrovsk-sakhalinskiy;50.90081,142.152023
Александровское;aleksandrovskoe;44.716492,43.016281
Алейск;aleysk;52.473621,82.757919
Алексин;aleksin;54.509521,37.061691
Алексеевка;alekseevka;50.634239,38.714161
Алдан;aldan;58.602169,125.368713
Видное;vidnoe;55.556728,37.712471
Ангарск;angarsk;52.541672,103.919548
Бобров;bobrov;51.09211,40.035061
Анапа;anapa;44.89502,37.331039
Богородск;bogorodsk;56.099628,43.507339
Апатиты;apatity;67.57962,33.39098
Богучар;boguchar;49.93737,40.559261
Богданович;bogdanovich;56.78656,62.041012
Бор;bor;56.360352,44.059029
Борисоглебск;borisoglebsk;51.36594,42.08054
Воркута;vorkuta;67.485046,64.029739
Боровичи;borovichi;58.395012,33.901199
Боровск;borovsk;55.202061,36.479431
Воробьевка;vorobevka;50.643921,40.945179
Горно-Алтайск;gorno-altaysk;51.958118,85.971291
Горнозаводск;gornozavodsk;58.37532,58.322899
Воронеж;voronezh;51.660019,39.197411
Городище;gorodishche;48.800549,44.478378
Городец;gorodets;56.65015,43.470402
Анива;aniva;46.718601,142.525467
Волгоград;volgograd;48.718079,44.504639
Волгодонск;volgodonsk;47.519039,42.141178
Голицыно;golitsyno;55.609516,36.983971
Бологое;bologoe;57.876301,34.073887
Вологда;vologda;59.21524,39.876709
Волоколамск;volokolamsk;56.04567,35.943951
Волоконовка;volokonovka;50.481941,37.862499
Волосово;volosovo;59.447491,29.468691
Волхов;volkhov;59.925339,32.32962
Вольно-Надеждинское;volno-nadezhdinskoe;43.376041,131.986115
Вольск;volsk;52.044861,47.376011
Большой Камень;bolshoy-kamen;43.110992,132.347
Волжск;volzhsk;55.870419,48.356049
Волжский;volzhskiy;48.79509,44.80069
Анна;anna;51.485352,40.43288
Воскресенск;voskresensk;55.317539,38.685928
Воскресенское;voskresenskoe;55.425728,38.057396
Амурск;amursk;50.22578,136.907104
Воткинск;votkinsk;57.057541,53.99511
Внуково;vnukovo;55.606899,37.310719
Бодайбо;bodaybo;57.84745,114.17617
Анжеро-Судженск;anzhero-sudzhensk;56.064411,86.023369
Асбест;asbest;57.00568,61.469711
Всеволожск;vsevolozhsk;60.031422,30.63961
Губаха;gubakha;58.864891,57.603008
Губкин;gubkin;51.275436,37.560936
Бузулук;buzuluk;52.78524,52.25264
Вурнары;vurnary;55.488831,46.963989
Аткарск;atkarsk;51.864201,44.990952
Буйнакск;buynaksk;42.820629,47.117901
Гуково;gukovo;47.986641,39.939968
Гулькевичи;gulkevichi;45.35358,40.694469
Гусиноозерск;gusinoozersk;51.284081,106.526382
Гусь Хрустальный;gus-khrustalnyy;55.61684,40.672661
Бутурлиновка;buturlinovka;50.830631,40.586498
Гудермес;gudermes;43.347652,46.093826
Буденновск;budennovsk;44.780739,44.148499
Выборг;vyborg;60.703701,28.771061
Вырица;vyritsa;59.402569,30.34053
Выкса;vyksa;55.319511,42.173
Выселки;vyselki;45.58057,39.657551
Вышний Волочек;vyshniy-volochek;57.591518,34.5564
"Аэропорт ""Домодедово""";aeroport-domodedovo;55.417953,37.907005
Верхний Уфалей;verkhniy-ufaley;56.049999,60.233334
Верхняя Пышма;verkhnyaya-pyshma;57.1199,60.601101
Верхняя Салда;verkhnyaya-salda;58.045601,60.553299
Березовка;berezovka;57.602451,57.302979
Березовский;berezovskiy;56.912811,60.804699
Березники;berezniki;59.40147,56.79948
Бердск;berdsk;54.76355,83.103447
Белгород;belgorod;50.596611,36.609211
Белая Калитва;belaya-kalitva;48.19244,40.773819
Великий Устюг;velikiy-ustyug;60.763229,46.307789
Великие Луки;velikie-luki;56.346821,30.539
Белово;belovo;54.37674,86.349159
Белогорск;belogorsk;50.919991,128.469193
Белорецк;beloretsk;53.967201,58.416611
Белореченск;belorechensk;44.75425,39.885448
Вельск;velsk;61.066971,42.10183
Геленджик;gelendzhik;44.577709,38.080212
Георгиевск;georgievsk;44.14735,43.46875
Беслан;beslan;43.192921,44.531033
Веселый;veselyy;47.32991,39.302719
Вешенская;veshenskaya;49.630821,41.726101
Адлер;adler;43.44722,39.914539
Аша;asha;55.002319,57.224812
Ачинск;achinsk;56.28236,90.517052
Вязьма;vyazma;55.2122,34.309429
Вятские Поляны;vyatskie-polyany;56.221481,51.072689
Забайкальск;zabaykalsk;49.655739,117.322144
Заволжье;zavolzhe;56.642479,43.392841
Зарайск;zaraysk;54.760559,38.882904
Заринск;zarinsk;53.70895,84.967278
Заречный;zarechnyy;53.201141,45.192661
Заполярный;zapolyarnyy;69.429283,30.83742
Звенигород;zvenigorod;55.731331,36.866138
Златоуст;zlatoust;55.186119,59.646099
Зима;zima;53.922371,102.048363
Зимовники;zimovniki;47.160622,42.474232
Зерноград;zernograd;46.853531,40.310371
Зеленоград;zelenograd;55.988857,37.181683
Зеленогорск;zelenogorsk;56.099998,94.583336
Зеленокумск;zelenokumsk;44.417599,43.869781
